CID,IDSURVEY,zHD,zHDERR,zCMB,zCMBERR,zHEL,zHELERR,MU_SH0ES,MU_SH0ES_ERR_DIAG,CEPH_DIST,IS_CALIBRATOR,USED_IN_SH0ES_HF,RA,DEC,VPEC,VPECERR,HOST_LOGMASS,distance_mpc,velocity_km_s,distance_err_mpc,hubble_distance_mpc,hubble_distance_err_mpc,weight_mu
2013E,56,0.01016,0.00085,0.01042,8e-05,0.00936,8e-05,32.7794,0.348547,,0,0,150.023,-34.2337,77.0649,250,10.5748,35.964994647266785,3045.89137328,5.7728069370742965,35.60326547009067,5.714745126588161,8.231468146137166
1999ac,57,0.01017,0.00084,0.00979,2e-05,0.00947,2e-05,32.9182,0.365223,,0,0,241.812,7.9723,-112.326,250,9.83179,38.33893105933962,3048.8892978599997,6.4482787609557946,37.95294956229112,6.3833599898589295,7.4969352680999215
1999ac,62,0.01017,0.00084,0.00979,2e-05,0.00947,2e-05,32.9674,0.341878,,0,0,241.812,7.9723,-112.326,250,9.83179,39.21750855866705,3048.8892978599997,6.174429540187802,38.822681883907705,6.112267776896762,8.555742213266864
2009an,51,0.01026,0.00084,0.00921,1e-05,0.00887,1e-05,33.3378,0.306294,,0,0,185.697,65.8512,-311.409,250,10.5117,46.511462968879975,3075.87061908,6.560609278827429,46.039101784570285,6.493981033424494,10.659160975999319
2009an,65,0.01026,0.00084,0.00921,1e-05,0.00887,1e-05,33.2253,0.299086,,0,0,185.697,65.8512,-311.409,250,10.5117,44.16314567793718,3075.87061908,6.082775231380447,43.71463353783896,6.020999773702262,11.179125482420531
2004S,57,0.01042,0.00084,0.0098,2e-05,0.0093,2e-05,33.1236,0.317227,,0,0,101.431,-31.2312,-183.95,250,7.0,42.14247132696755,3123.83741236,6.156527567678421,41.70787526668865,6.09303811056632,9.937101177480649
1997do,62,0.01073,0.00084,0.01048,2e-05,0.01012,2e-05,33.1081,0.364668,,0,0,111.677,47.0933,-76.099,250,9.594,41.8427288412479,3216.7730743399998,7.026892984783253,41.398522692754646,6.952294860925523,7.519772288628195
ASASSN-16jf,150,0.01096,0.00084,0.0104,1e-05,0.01144,1e-05,33.5709,0.314858,,0,0,339.247,-25.232,-166.92,250,8.01649,51.782140649389994,3285.7253396799997,7.5082792528861555,51.22076110765015,7.426880641060136,10.087197755736684
iPTF13ebh,56,0.01114,0.00085,0.01238,5e-05,0.01317,5e-05,33.7337,0.342487,,0,0,35.4999,33.2705,367.497,250,11.5,55.81359542592682,3339.68798212,8.802981227331257,55.19868210725204,8.705996427132996,8.525342142733216
iPTF13ebh,5,0.01114,0.00085,0.01238,5e-05,0.01317,5e-05,33.6369,0.29522,,0,0,35.4999,33.2705,367.497,250,11.5,53.38017583185706,3339.68798212,7.257239576252072,52.79207214812693,7.177284625523738,11.473830984255377
