objid,ra,dec,u,g,r,i,photometric_z,specObjID,redshift,redshift_error,class,spec_z,zmag,u_g,g_r,r_i,i_z,r_mag
1237655464312045709,214.315468168626,58.7116648145404,21.56745,21.55847,21.46438,21.73256,21.94145,9449951828462817280,0.0100656,8.393929e-06,GALAXY,0.0100656,21.94145,0.008980000000001098,0.09409000000000134,-0.268180000000001,-0.20889000000000024,21.46438
1237648721209065583,130.486190609673,-0.0598858375839129,18.41651,17.36447,16.98669,16.91485,16.73546,525875827615754240,0.01016996,5.438959e-06,GALAXY,0.01016996,16.73546,1.052039999999998,0.37778000000000134,0.07183999999999813,0.1793900000000015,16.98669
1237657612338069564,171.916720888411,57.2424822156037,17.2685,16.17277,15.75751,15.55011,15.38548,1475036406110775296,0.01020325,1.173571e-05,GALAXY,0.01020325,15.38548,1.0957299999999996,0.41525999999999996,0.2073999999999998,0.16463000000000072,15.75751
1237651311607939239,260.899253156256,61.8237090184169,18.47343,17.42459,16.9571,16.7254,16.57746,398684045808003072,0.01021303,6.285116e-06,GALAXY,0.01021303,16.57746,1.048840000000002,0.46748999999999796,0.23170000000000002,0.14794000000000196,16.9571
1237655463774257324,210.523694329446,59.2801930161213,17.94416,16.69155,16.16286,15.90245,15.69897,886099483404822528,0.01021327,1.136113e-05,GALAXY,0.01021327,15.69897,1.2526100000000007,0.528690000000001,0.2604099999999985,0.20348000000000077,16.16286
1237656906347446347,342.526484783239,-1.04921961295257,15.97735,14.4494,13.79758,13.63071,13.73943,4735647799911403520,0.01024059,2.234265e-05,GALAXY,0.01024059,13.73943,1.5279499999999988,0.6518200000000007,0.1668699999999994,-0.10871999999999993,13.79758
1237661852002615357,173.046383102619,45.0189023165525,22.20986,21.97871,21.75686,21.77415,21.06833,8329508229903306752,0.01025017,3.280606e-05,GALAXY,0.01025017,21.06833,0.23114999999999952,0.22184999999999988,-0.01728999999999914,0.7058199999999992,21.75686
1237664130473525479,143.389544453467,10.3873049490877,19.52899,18.17902,17.54494,17.19457,17.03395,1960225598999652352,0.01029824,5.12272e-05,GALAXY,0.01029824,17.03395,1.349969999999999,0.6340800000000009,0.3503700000000016,0.160619999999998,17.54494
1237664338789335228,175.168499218063,37.6083822441774,17.16027,16.40277,16.2007,16.13571,16.00461,2292341613994731520,0.01035392,5.268018e-06,GALAXY,0.01035392,16.00461,0.7575000000000003,0.20206999999999908,0.06499000000000166,0.1311,16.2007
1237665226229874877,180.054782497794,31.8655899686359,18.38694,17.45033,17.10675,16.99722,16.87279,2358832930886805504,0.01040682,5.928692e-06,GALAXY,0.01040682,16.87279,0.9366099999999982,0.34357999999999933,0.10953000000000301,0.12443000000000026,17.10675
1237651252029554776,153.049521185075,62.0971430618354,18.94543,16.9557,16.68137,16.56471,16.54839,868205757135349760,0.01043292,8.810398e-06,GALAXY,0.01043292,16.54839,1.9897300000000016,0.2743299999999991,0.11665999999999954,0.016320000000000334,16.68137
1237662236934799524,197.174605599391,9.19469021168739,18.79653,17.43541,16.87411,16.60112,16.94486,2022161927584638976,0.01045349,1.708779e-05,GALAXY,0.01045349,16.94486,1.3611199999999997,0.5612999999999992,0.27299000000000007,-0.3437399999999968,16.87411
1237665329850220695,179.142174703843,32.1281162014501,18.44551,17.6735,17.5291,17.50953,17.63285,2358845850148431872,0.01050953,5.283728e-06,GALAXY,0.01050953,17.63285,0.7720099999999981,0.14440000000000097,0.01956999999999809,-0.12331999999999965,17.5291
1237660670886740014,143.611026460269,9.91642988333015,16.51546,15.08723,14.37757,14.00453,13.70603,1467195788978317312,0.01053151,1.010278e-05,GALAXY,0.01053151,13.70603,1.428230000000001,0.7096599999999995,0.3730399999999996,0.29850000000000065,14.37757
