model,z_bin,n,median_dz_norm,mean_abs_dz_norm,nmad_dz_norm
conformal_hist_gradient_boosting,"(-0.001, 0.1]",4849,0.007842475873171075,0.015843105849321266,0.01540249553527796
conformal_hist_gradient_boosting,"(0.1, 0.2]",4960,-0.0028777520300719553,0.015410246696389632,0.016213177015864107
conformal_hist_gradient_boosting,"(0.2, 0.3]",2438,-0.0037602563254383633,0.017491731871741998,0.01740355320047162
conformal_hist_gradient_boosting,"(0.3, 0.4]",253,-0.015391402433591472,0.02277383559093652,0.008973089297842672
decision_tree_classical,"(-0.001, 0.1]",4849,0.0075850889774625885,0.017304846457067195,0.016631057955302092
decision_tree_classical,"(0.1, 0.2]",4960,-0.0026871544637774416,0.016871490175760475,0.01794263224050606
decision_tree_classical,"(0.2, 0.3]",2438,-0.0033989014380288052,0.018917136745937292,0.019421607058663592
decision_tree_classical,"(0.3, 0.4]",253,-0.015142309917587356,0.024385222535012834,0.010020808919589229
gradient_boosting_classical,"(-0.001, 0.1]",4849,0.009931857852612481,0.017815424305256927,0.01729411897181674
gradient_boosting_classical,"(0.1, 0.2]",4960,-0.0038891071357352214,0.015934622757448204,0.017111998801177353
gradient_boosting_classical,"(0.2, 0.3]",2438,-0.005408855654667543,0.018740179673062216,0.018449870467579663
gradient_boosting_classical,"(0.3, 0.4]",253,-0.017422720677133716,0.025094064998753496,0.006827415826595606
hist_gradient_boosting_classical,"(-0.001, 0.1]",4849,0.007908161416542808,0.0159679993051139,0.015383531394851288
hist_gradient_boosting_classical,"(0.1, 0.2]",4960,-0.0029467686280378975,0.015386081950326987,0.016307422630179924
hist_gradient_boosting_classical,"(0.2, 0.3]",2438,-0.004014979987982737,0.017647808287868025,0.01778110805431922
hist_gradient_boosting_classical,"(0.3, 0.4]",253,-0.01595974951131347,0.023293050610303873,0.008320865044666375
knn_classical,"(-0.001, 0.1]",4849,0.00823480762460775,0.01674240053254559,0.015633207603525563
knn_classical,"(0.1, 0.2]",4960,-0.0036711241274044806,0.015304039661925737,0.015847350771960537
knn_classical,"(0.2, 0.3]",2438,-0.004942227182138817,0.01898403618644216,0.01916744477172907
knn_classical,"(0.3, 0.4]",253,-0.016942989886382622,0.02397993092698216,0.010150964607315946
median_redshift_baseline,"(-0.001, 0.1]",4849,0.0494749923134773,0.053588173403743215,0.024738745709014427
median_redshift_baseline,"(0.1, 0.2]",4960,-0.015057692456328192,0.023326657527155917,0.02789484309232136
median_redshift_baseline,"(0.2, 0.3]",2438,-0.10346264970153217,0.10229273504748204,0.027626348743559802
median_redshift_baseline,"(0.3, 0.4]",253,-0.14076136371127212,0.14072090302412635,0.0020624474756092788
mlp_ensemble_mean,"(-0.001, 0.1]",4849,0.006869811246779123,0.015566771443494441,0.01562893408047152
mlp_ensemble_mean,"(0.1, 0.2]",4960,-0.0028152877665884365,0.014752935972849936,0.015352500323392856
mlp_ensemble_mean,"(0.2, 0.3]",2438,-0.0041350355405322505,0.01799809514538697,0.01811757110887613
mlp_ensemble_mean,"(0.3, 0.4]",253,-0.01645904604655658,0.024040448211910183,0.010179403191284823
mlp_neural_network,"(-0.001, 0.1]",4849,0.008516136106567719,0.016088930146928002,0.015066405934991211
mlp_neural_network,"(0.1, 0.2]",4960,-0.003628983352951796,0.014459055171146732,0.014825219155586315
mlp_neural_network,"(0.2, 0.3]",2438,-0.008240731021895124,0.018789938962607177,0.017830292214478856
mlp_neural_network,"(0.3, 0.4]",253,-0.01932665610093907,0.02676706812775755,0.011034252755202159
quantile_boosting_median,"(-0.001, 0.1]",4849,0.005771069728415127,0.015020945261036357,0.014787886715805845
quantile_boosting_median,"(0.1, 0.2]",4960,-0.0031065820752568408,0.015440053726234228,0.015922924599956475
quantile_boosting_median,"(0.2, 0.3]",2438,-0.002775070676182339,0.017710753843831556,0.018142363063927035
quantile_boosting_median,"(0.3, 0.4]",253,-0.011146361795905307,0.01895981284023538,0.009649602041514618
random_forest_classical,"(-0.001, 0.1]",4849,0.006969941646916249,0.015568005590095548,0.014822928828207058
random_forest_classical,"(0.1, 0.2]",4960,-0.002529747695319608,0.014909385407933034,0.01559196509717139
random_forest_classical,"(0.2, 0.3]",2438,-0.003430214345507541,0.017534520108914944,0.018155800386493257
random_forest_classical,"(0.3, 0.4]",253,-0.015724245345021242,0.02238146859383543,0.011296552173560197
ridge_linear_baseline,"(-0.001, 0.1]",4849,0.015620916272551848,0.025419280412153532,0.026827954469087763
ridge_linear_baseline,"(0.1, 0.2]",4960,-0.0003107172044950483,0.019667562149766532,0.022771226120096834
ridge_linear_baseline,"(0.2, 0.3]",2438,-0.016934825150534155,0.02618769291904613,0.021352100247580195
ridge_linear_baseline,"(0.3, 0.4]",253,-0.029456802445667146,0.03454411505671264,0.02361991383869737
