model,MAE_z,RMSE_z,bias_mean_dz_norm,NMAD_dz_norm,outlier_rate_abs_dz_norm_gt_0p15,R2
random_forest_classical,0.018032726733496717,0.02668693582699788,0.0006350032496751461,0.01629575755979424,0.00152,0.8761989237702531
quantile_boosting_median,0.0180041370945016,0.026858697996929106,-3.3012077303852686e-05,0.016297949062086373,0.00152,0.8746001810524997
mlp_ensemble_mean,0.01812448414697777,0.02659139275972296,0.00010940176776753601,0.01666400346570874,0.00096,0.8770837882644223
conformal_hist_gradient_boosting,0.018375192192969746,0.02683521957705307,0.0006989012786365253,0.01707844172827221,0.0008,0.8748193206977928
mlp_neural_network,0.018469667786740057,0.02728150954758576,-0.0003449243764575033,0.01716569654861821,0.00128,0.8706209994778074
hist_gradient_boosting_classical,0.018466032835502803,0.026791299224926547,0.0005234101320548638,0.017243820170776726,0.00104,0.8752287438675443
knn_classical,0.019092421145067477,0.027906373954150323,0.000679722247329587,0.017400037662419977,0.00104,0.8646264503533776
decision_tree_classical,0.020023762018143324,0.029461966576059328,0.0007956751892064127,0.0182107862302146,0.002,0.8491134729611322
gradient_boosting_classical,0.019784129157437987,0.02818665555135352,0.0008206042017305346,0.018802636615088186,0.00088,0.8618935079599117
ridge_linear_baseline,0.02670594543677391,0.03661523486104039,0.0015954703536727604,0.02745605872849069,0.00216,0.7669491743572417
median_redshift_baseline,0.06145363838,0.0773759852113495,-0.009205278537375022,0.067556143197748,0.0,-0.040733133299655444
