observed_wavelength,rest_line,rest_wavelength,z_candidate,prominence,cluster
4380.261073228858,[O II] 3727,3727.09,0.1752496111520938,6.084426283836365,10
4882.025722709517,H-delta 4102,4101.74,0.19023285793578282,35.534123599529266,10
5067.571564282532,H-gamma 4341,4340.47,0.1675167814274794,14.557033717632294,10
5193.978126545897,H-gamma 4341,4340.47,0.19663956358318258,6.997130453586578,10
5684.600454467784,H-beta 4861,4861.33,0.16935086786286568,14.853034973144531,10
5862.731747661751,[O III] 4959,4958.91,0.18226218012864748,4.826390936970711,10
5891.149094755168,[O III] 4959,4958.91,0.18799274331560123,5.733749017119408,10
5862.731747661751,[O III] 5007,5006.84,0.1709444974598251,4.826390936970711,10
5891.149094755168,[O III] 5007,5006.84,0.17662020251399446,5.733749017119408,10
7823.479588816787,H-alpha 6563,6562.8,0.1920947749157047,10.084173917770386,10
7809.083372070966,H-alpha 6563,6562.8,0.1899011659765597,4.840923398733139,10
7794.709367096962,H-alpha 6563,6562.8,0.1877109415336382,9.249271392822266,10
7841.513263199194,H-alpha 6563,6562.8,0.19484263777643585,6.945993185043335,10
7751.7544160151465,H-alpha 6563,6562.8,0.18116572438824075,10.351293802261353,10
7714.362000328545,H-alpha 6563,6562.8,0.17546809293724408,4.951412916183472,10
7714.362000328545,[N II] 6584,6583.45,0.17178105709446334,4.951412916183472,10
7823.479588816787,[N II] 6584,6583.45,0.18835558693645238,10.084173917770386,10
7751.7544160151465,[N II] 6584,6583.45,0.1774608170511125,10.351293802261353,10
7841.513263199194,[N II] 6584,6583.45,0.19109483070414357,6.945993185043335,10
7809.083372070966,[N II] 6584,6583.45,0.18616885858796928,4.840923398733139,10
7794.709367096962,[N II] 6584,6583.45,0.1839855041197187,9.249271392822266,10
